student_id,dataset_source,sleep_hours,academic_score,gender,age,bedtime_consistency,daytime_sleep_minutes,cumulative_gpa,sleep_category
CMU_185,CMU,7.203333333333333,84.5,Female,,-0.11040203899540245,24.16,3.0,Adequate
CMU_158,CMU,6.532183908333334,65.0,Female,,-0.13250159669165704,13.13793103,3.66,Insufficient
CMU_209,CMU,5.738405796666667,76.75,Female,,-0.9279384277246121,14.95652174,3.57,Poor
CMU_102,CMU,6.543678161666667,89.0,Female,,-0.12234900020135901,54.55172414,3.61,Insufficient
CMU_174,CMU,7.057017543333333,100.0,Female,,-0.12237770663740043,10.52631579,3.21,Adequate
CMU_184,CMU,6.623333333333333,84.0,Female,,-0.1901930162443642,22.36,3.2,Insufficient
CMU_255,CMU,5.809876543333333,79.75,Female,,-0.5161050558071721,20.51851852,3.4,Poor
CMU_265,CMU,7.0351851850000005,82.0,Female,,-0.12188302719253942,17.03703704,3.86,Adequate
CMU_343,CMU,7.57202381,87.5,Male,,-0.9070395666996913,52.67857143,3.79,Adequate
CMU_137,CMU,5.149425286666667,63.74999999999999,Female,,-0.08158031325965076,85.48275862,3.53,Poor
CMU_279,CMU,5.243103448333333,87.25,Female,,-0.15573591467828748,21.4137931,3.61,Poor
CMU_220,CMU,6.369871795,94.0,Female,,-0.06281286680222534,2.269230769,3.82,Insufficient
CMU_337,CMU,6.4954022983333335,93.5,Female,,-0.08558657385621386,14.55172414,3.33,Insufficient
CMU_323,CMU,6.095402298333334,100.0,Male,,-0.20219695350120004,27.55172414,4.0,Insufficient
CMU_216,CMU,6.0,89.0,Female,,-0.13196394469460665,34.06896552,3.16,Poor
CMU_125,CMU,6.112643678333333,80.0,Male,,-0.2206577546801996,10.24137931,3.0,Insufficient
CMU_211,CMU,4.868390805000001,69.5,Female,,-0.2110985114010797,9.379310345,3.77,Poor
CMU_316,CMU,7.435507246666666,70.75,Female,,-0.1627514265682363,23.13043478,3.71,Adequate
CMU_178,CMU,6.1954545450000005,94.5,Male,,-1.112858476131871,42.90909091,3.82,Insufficient
CMU_153,CMU,7.3258620683333335,82.5,Female,,-0.03900060912447433,12.24137931,3.1,Adequate
CMU_130,CMU,5.986206896666667,86.0,Female,,-0.05906778799106616,6.103448276,4.0,Poor
CMU_303,CMU,6.413793103333333,76.25,Female,,-0.09955896184214916,20.20689655,3.17,Insufficient
CMU_160,CMU,6.204166666666667,95.5,Female,,-0.06050483393627084,25.03571429,4.0,Insufficient
CMU_295,CMU,6.706944445,75.0,Female,,-0.34093162802455373,10.91666667,3.47,Insufficient
CMU_353,CMU,6.014367816666667,95.25,Female,,-0.05900399448555681,22.13793103,3.62,Insufficient
CMU_172,CMU,7.385632183333333,65.25,Male,,-0.05142174043800339,23.79310345,2.91,Adequate
CMU_190,CMU,6.263333333333334,79.25,Male,,-0.24059948846212376,28.04,3.79,Insufficient
CMU_197,CMU,5.599275361666667,66.75,Male,,-0.5752417847928688,20.73913043,1.57,Poor
CMU_222,CMU,6.124074073333333,85.0,,,-0.14945242457605684,16.25925926,3.5,Insufficient
CMU_181,CMU,6.801923076666667,100.0,Female,,-0.08896036506122049,12.11538462,4.0,Insufficient
CMU_198,CMU,6.187931035,73.5,Female,,-0.14222765912601087,106.4482759,3.3,Insufficient
CMU_299,CMU,5.00625,42.5,Female,,-1.0006690983653055,9.0,3.28,Poor
CMU_142,CMU,6.219540230000001,95.25,Male,,-0.09207300945404215,23.65517241,4.0,Insufficient
CMU_163,CMU,7.164367816666667,86.5,Male,,-0.22497209371111937,52.65517241,3.52,Adequate
CMU_236,CMU,6.522,87.75,Male,,-0.1740335442404889,30.76,3.29,Insufficient
CMU_247,CMU,6.098611111666667,95.25,Male,,-0.2565076347663852,28.16666667,3.72,Insufficient
CMU_261,CMU,5.707575758333333,95.0,Male,,-0.18134633975769612,21.95454545,3.76,Poor
CMU_301,CMU,4.8913793100000005,94.25,Male,,-0.08903343583334312,31.89655172,4.0,Poor
CMU_129,CMU,6.855172413333333,85.0,Female,,-0.08625440614280928,18.65517241,4.0,Insufficient
CMU_133,CMU,7.9653846150000005,95.75,Female,,-0.49876950676865484,22.03846154,3.48,Adequate
